"Language","original","english","czech","german","russian","polish","hungarian","italian","spanish","french","chinese","japanese","portuguese","chinesesimp"
"VSTR_LBL_BLD_SET_ACTIVE","Set Active (Auto Spawns the set on server start)","Set Active (Auto Spawns the set on server start)","Set Active (Auto Spawns the set on server start)","Set Active (Auto Spawns the set on server start)","Включить (спавн при рестарте)","Set Active (Auto Spawns the set on server start)","Set Active (Auto Spawns the set on server start)","Set Active (Auto Spawns the set on server start)","Set Active (Auto Spawns the set on server start)","Activer (Génère automatiquement l'ensemble au démarrage du serveur)","Set Active (Auto Spawns the set on server start)","Set Active (Auto Spawns the set on server start)","Set Active (Auto Spawns the set on server start)","Set Active (Auto Spawns the set on server start)"
"VSTR_LBL_EXPORT_RAW","Export Raw","Export Raw","Export Raw","Export Raw","Экспорт необр.","Export Raw","Export Raw","Export Raw","Export Raw","Exporter en Brut","Export Raw","Export Raw","Export Raw","Export Raw"
"VSTR_LBL_OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK"
"VSTR_BUILDING_ATTS","BUILDING ATTRIBUTES","BUILDING ATTRIBUTES","BUILDING ATTRIBUTES","BUILDING ATTRIBUTES","ПАРАМЕТРЫ СТРОИТЕЛЬСТВА","BUILDING ATTRIBUTES","BUILDING ATTRIBUTES","BUILDING ATTRIBUTES","BUILDING ATTRIBUTES","ATTRIBUTS DE CONSTRUCTION","BUILDING ATTRIBUTES","BUILDING ATTRIBUTES","BUILDING ATTRIBUTES","BUILDING ATTRIBUTES"
"VSTR_LBL_BLD_SET_ACTIVE_S","Set Active (Spawn it when the set is active)","Set Active (Spawn it when the set is active)","Set Active (Spawn it when the set is active)","Set Active (Spawn it when the set is active)","Включить (спавн при рестарте)","Set Active (Spawn it when the set is active)","Set Active (Spawn it when the set is active)","Set Active (Spawn it when the set is active)","Set Active (Spawn it when the set is active)","Activer (Générer lorsqu'il est actif)","Set Active (Spawn it when the set is active)","Set Active (Spawn it when the set is active)","Set Active (Spawn it when the set is active)","Set Active (Spawn it when the set is active)"
"VSTR_BUILDING_MANAGER_TITLE	OBJECT","MANAGER","MANAGER","MANAGER","MANAGER","МЕНЕДЖЕР ОБЪЕКТОВ","MANAGER","MANAGER","MANAGER","MANAGER","GESTIONNAIRE D'OBJETS","MANAGER","MANAGER","MANAGER","MANAGER"
"VSTR_LBL_NEW_OBJ_ATT","New Object Attributes","New Object Attributes","New Object Attributes","New Object Attributes","Новые параметры объекта","New Object Attributes","New Object Attributes","New Object Attributes","New Object Attributes","Nouveaux Attributs d'Objet","New Object Attributes","New Object Attributes","New Object Attributes","New Object Attributes"
"VSTR_LBL_SEARCH_KEYWORD","Search Keyword","Search Keyword","Search Keyword","Search Keyword","Поиск...","Search Keyword","Search Keyword","Search Keyword","Search Keyword","Mot-Clé de Recherche","Search Keyword","Search Keyword","Search Keyword","Search Keyword"
"VSTR_LBL_HELP","Help","Help","Help","Help","Помощь","Help","Help","Help","Help","Aide","Help","Help","Help","Help"
"VSTR_LBL_OPTIONS","Options","Options","Options","Options","Настройки","Options","Options","Options","Options","Options","Options","Options","Options","Options"
"VSTR_LBL_FREE_CAM","Free Camera","Free Camera","Free Camera","Free Camera","Свободная Камера","Free Camera","Free Camera","Free Camera","Free Camera","Caméra Libre","Free Camera","Free Camera","Free Camera","Free Camera"
"VSTR_LBL_TOP_DOWN_VIEW","Top Down View","Top Down View","Top Down View","Top Down View","Вид сверху","Top Down View","Top Down View","Top Down View","Top Down View","Vue de Haut en Bas","Top Down View","Top Down View","Top Down View","Top Down View"
"VSTR_LBL_FOV","FoV:","FoV:","FoV:","FoV:","FoV:","FoV:","FoV:","FoV:","FoV:","Champs de Vision :","FoV:","FoV:","FoV:","FoV:"
"VSTR_LBL_SNAP_ON_MOVE","Snap To Terrain","Snap To Terrain","Snap To Terrain","Snap To Terrain","Привязка к рельефу","Snap To Terrain","Snap To Terrain","Snap To Terrain","Snap To Terrain","Accrocher au Terrain","Snap To Terrain","Snap To Terrain","Snap To Terrain","Snap To Terrain"
"VSTR_ENABLE_OBJ_SNAP","Snap-On-Surfaces","Snap-On-Surfaces","Snap-On-Surfaces","Snap-On-Surfaces","Привязка к поверхностям","Snap-On-Surfaces","Snap-On-Surfaces","Snap-On-Surfaces","Snap-On-Surfaces","Accrocher aux Surfaces","Snap-On-Surfaces","Snap-On-Surfaces","Snap-On-Surfaces","Snap-On-Surfaces"
"VSTR_LBL_BUILDING_SETS","Building Sets","Building Sets","Building Sets","Building Sets","Строительные Наборы","Building Sets","Building Sets","Building Sets","Building Sets","Ensembles de Construction","Building Sets","Building Sets","Building Sets","Building Sets"
"VSTR_LBL_CREATE_NEW_BUILD_SET","Create New Building Set","Create New Building Set","Create New Building Set","Create New Building Set","Создать новый строительный набор","Create New Building Set","Create New Building Set","Create New Building Set","Create New Building Set","Créer un Nouvel Ensemble de Construction","Create New Building Set","Create New Building Set","Create New Building Set","Create New Building Set"
"VSTR_LBL_SAVE_EDITS","Save Edits","Save Edits","Save Edits","Save Edits","Сохранить изменения","Save Edits","Save Edits","Save Edits","Save Edits","Sauvegarder les Modifications","Save Edits","Save Edits","Save Edits","Save Edits"
"VSTR_PERMISSIONS_MANAGER_TITLE","PERMISSIONS EDITOR","PERMISSIONS EDITOR","PERMISSIONS EDITOR","PERMISSIONS EDITOR","РЕДАКТОР ПРАВ","PERMISSIONS EDITOR","PERMISSIONS EDITOR","PERMISSIONS EDITOR","PERMISSIONS EDITOR","ÉDITEUR DE PERMISSIONS","PERMISSIONS EDITOR","PERMISSIONS EDITOR","PERMISSIONS EDITOR","PERMISSIONS EDITOR"
"VSTR_LBL_AVA_PERMS","Available Permissions","Available Permissions","Available Permissions","Available Permissions","Доступные права","Available Permissions","Available Permissions","Available Permissions","Available Permissions","Permissions Disponibles","Available Permissions","Available Permissions","Available Permissions","Available Permissions"
"VSTR_LBL_USER_GROUPS","User Groups","User Groups","User Groups","User Groups","Группы пользователей","User Groups","User Groups","User Groups","User Groups","Groupes d'Utilisateurs","User Groups","User Groups","User Groups","User Groups"
"VSTR_LBL_ADD_MEMEBER","Add Member(s)","Add Member(s)","Add Member(s)","Add Member(s)","Добавить","Add Member(s)","Add Member(s)","Add Member(s)","Add Member(s)","Ajouter Membre(s)","Add Member(s)","Add Member(s)","Add Member(s)","Add Member(s)"
"VSTR_LBL_UPDATE_PERMISSIONS","Update Permissions","Update Permissions","Update Permissions","Update Permissions","Обновить","Update Permissions","Update Permissions","Update Permissions","Update Permissions","Mettre à Jour les Permissions","Update Permissions","Update Permissions","Update Permissions","Update Permissions"
"VSTR_LBL_CREATE_GROUP","Create Group","Create Group","Create Group","Create Group","Создать","Create Group","Create Group","Create Group","Create Group","Créer un Groupe","Create Group","Create Group","Create Group","Create Group"
"VSTR_LBL_DELETE_GROUP","Delete Group","Delete Group","Delete Group","Delete Group","Удалить","Delete Group","Delete Group","Delete Group","Delete Group","Supprimer un Groupe","Delete Group","Delete Group","Delete Group","Delete Group"
"VSTR_LBL_UPDATE_GROUP_ATTS","USER GROUP ATTRIBUTES","USER GROUP ATTRIBUTES","USER GROUP ATTRIBUTES","USER GROUP ATTRIBUTES","ПАРАМЕТРЫ ГРУППЫ","USER GROUP ATTRIBUTES","USER GROUP ATTRIBUTES","USER GROUP ATTRIBUTES","USER GROUP ATTRIBUTES","ATTRIBUTS DU GROUPE D'UTILISATEURS","USER GROUP ATTRIBUTES","USER GROUP ATTRIBUTES","USER GROUP ATTRIBUTES","USER GROUP ATTRIBUTES"
"VSTR_LBL_GROUP_NAME_FORCE","[Force Name]: Users within the usergroup will not be able to use the tools if their ingame name is not matching with the name saved within the group","[Force Name]: Users within the usergroup will not be able to use the tools if their ingame name is not matching with the name saved within the group","[Force Name]: Users within the usergroup will not be able to use the tools if their ingame name is not matching with the name saved within the group","[Force Name]: Users within the usergroup will not be able to use the tools if their ingame name is not matching with the name saved within the group","[Force Name]: пользователи в группе не смогут использовать админку, если их игровое имя не совпадает с именем, сохраненным в группе.","[Force Name]: Users within the usergroup will not be able to use the tools if their ingame name is not matching with the name saved within the group","[Force Name]: Users within the usergroup will not be able to use the tools if their ingame name is not matching with the name saved within the group","[Force Name]: Users within the usergroup will not be able to use the tools if their ingame name is not matching with the name saved within the group","[Force Name]: Users within the usergroup will not be able to use the tools if their ingame name is not matching with the name saved within the group","[Forcer le Nom] : Les utilisateurs du groupe ne pourront pas utiliser les outils si leur nom en jeu ne correspond pas au nom enregistré dans le groupe","[Force Name]: Users within the usergroup will not be able to use the tools if their ingame name is not matching with the name saved within the group","[Force Name]: Users within the usergroup will not be able to use the tools if their ingame name is not matching with the name saved within the group","[Force Name]: Users within the usergroup will not be able to use the tools if their ingame name is not matching with the name saved within the group","[Force Name]: Users within the usergroup will not be able to use the tools if their ingame name is not matching with the name saved within the group"
"VSTR_LBL_GROUP_NAME","Group Name:","Group Name:","Group Name:","Group Name:","Имя группы:","Group Name:","Group Name:","Group Name:","Group Name:","Nom du Groupe :","Group Name:","Group Name:","Group Name:","Group Name:"
"VSTR_LBL_GROUP_TOTAL_MEMBERS","Total Members:","Total Members:","Total Members:","Total Members:","Число участников:","Total Members:","Total Members:","Total Members:","Total Members:","Membres Total :","Total Members:","Total Members:","Total Members:","Total Members:"
"VSTR_LBL_GROUP_PERMS_LVL","Permission Level:","Permission Level:","Permission Level:","Permission Level:","Уровень доступа:","Permission Level:","Permission Level:","Permission Level:","Permission Level:","Niveau de Permission :","Permission Level:","Permission Level:","Permission Level:","Permission Level:"
"VSTR_PLAYER_MANAGER_TITLE","PLAYER MANAGER","PLAYER MANAGER","PLAYER MANAGER","PLAYER MANAGER","УПРАВЛЕНИЕ ИГРОКАМИ","PLAYER MANAGER","PLAYER MANAGER","PLAYER MANAGER","PLAYER MANAGER","Gestionnaire de joueurs","PLAYER MANAGER","PLAYER MANAGER","PLAYER MANAGER","PLAYER MANAGER"
"VSTR_LBL_PLAYERS_LIST","Player List","Player List","Player List","Player List","Список игроков","Player List","Player List","Player List","Player List","Liste des Joueurs","Player List","Player List","Player List","Player List"
"VSTR_LBL_PLAYERS_DETAILS","Player Details","Player Details","Player Details","Player Details","Информация об игроке","Player Details","Player Details","Player Details","Player Details","Détails du Joueur","Player Details","Player Details","Player Details","Player Details"
"VSTR_LBL_MODIFIERS","Modifiers","Modifiers","Modifiers","Modifiers","Показатели","Modifiers","Modifiers","Modifiers","Modifiers","Modificateurs","Modifiers","Modifiers","Modifiers","Modifiers"
"VSTR_LBL_HEAL_PLAYERS","HEAL","HEAL","HEAL","HEAL","ВЫЛЕЧИТЬ","HEAL","HEAL","HEAL","HEAL","Soigner","HEAL","HEAL","HEAL","HEAL"
"VSTR_LBL_KILL_PLAYERS","KILL","KILL","KILL","KILL","УБИТЬ","KILL","KILL","KILL","KILL","Tuer","KILL","KILL","KILL","KILL"
"VSTR_LBL_TP_TO_ME","BRING","BRING","BRING","BRING","К СЕБЕ","BRING","BRING","BRING","BRING","TP à moi","BRING","BRING","BRING","BRING"
"VSTR_LBL_SEND_MESSAGE","Send Message","Send Message","Send Message","Send Message","Сообщение","Send Message","Send Message","Send Message","Send Message","Envoyer Msg","Send Message","Send Message","Send Message","Send Message"
"VSTR_LBL_TP_ME_TO","GOTO","GOTO","GOTO","GOTO","К НЕМУ","GOTO","GOTO","GOTO","GOTO","Se TP à","GOTO","GOTO","GOTO","GOTO"
"VSTR_LBL_KICK_PLAYERS","KICK","KICK","KICK","KICK","Выгнать","KICK","KICK","KICK","KICK","Expulser","KICK","KICK","KICK","KICK"
"VSTR_LBL_BAN_PLAYERS","Ban Player(s)","Ban Player(s)","Ban Player(s)","Ban Player(s)","Забанить","Ban Player(s)","Ban Player(s)","Ban Player(s)","Ban Player(s)","Bannir Joueur(s)","Ban Player(s)","Ban Player(s)","Ban Player(s)","Ban Player(s)"
"VSTR_LBL_SPECTATE_PLAYER","SPECTATE","SPECTATE","SPECTATE","SPECTATE","НАБЛЮДАТЬ","SPECTATE","SPECTATE","SPECTATE","SPECTATE","Spectateur","SPECTATE","SPECTATE","SPECTATE","SPECTATE"
"VSTR_LBL_MAKE_VOMIT","Force Vomit","Force Vomit","Force Vomit","Force Vomit","Рвота","Force Vomit","Force Vomit","Force Vomit","Force Vomit","Forcer le Vomissement","Force Vomit","Force Vomit","Force Vomit","Force Vomit"
"VSTR_LBL_GODMODE","GODMODE","GODMODE","GODMODE","GODMODE","ГМ","GODMODE","GODMODE","GODMODE","GODMODE","GodMode ","GODMODE","GODMODE","GODMODE","GODMODE"
"VSTR_LBL_UNLIM_AMMO","Unlimited Ammo","Unlimited Ammo","Unlimited Ammo","Unlimited Ammo","Беск. БК","Unlimited Ammo","Unlimited Ammo","Unlimited Ammo","Unlimited Ammo","Munitions Illimitées","Unlimited Ammo","Unlimited Ammo","Unlimited Ammo","Unlimited Ammo"
"VSTR_LBL_SET_INVIS","Set Invisibility","Set Invisibility","Set Invisibility","Set Invisibility","Невидимость","Set Invisibility","Set Invisibility","Set Invisibility","Set Invisibility","Définir l'Invisibilité","Set Invisibility","Set Invisibility","Set Invisibility","Set Invisibility"
"VSTR_LBL_FREEZE_PLAYER","FREEZE","FREEZE","FREEZE","FREEZE","Заморозить","FREEZE","FREEZE","FREEZE","FREEZE","GELER","FREEZE","FREEZE","FREEZE","FREEZE"
"VSTR_LBL_USER_GROUP","User Group:","User Group:","User Group:","User Group:","Группа:","User Group:","User Group:","User Group:","User Group:","Groupe d'Utilisateurs :","User Group:","User Group:","User Group:","User Group:"
"VSTR_LBL_COPY_INFO","Copy Information","Copy Information","Copy Information","Copy Information","Копировать в буфер","Copy Information","Copy Information","Copy Information","Copy Information","Copier les Informations","Copy Information","Copy Information","Copy Information","Copy Information"
"VSTR_SERVER_MANAGER_TITLE","SERVER MANAGER","SERVER MANAGER","SERVER MANAGER","SERVER MANAGER","МЕНЕДЖЕР СЕРВЕРА","SERVER MANAGER","SERVER MANAGER","SERVER MANAGER","SERVER MANAGER","Gestionnaire de serveur","SERVER MANAGER","SERVER MANAGER","SERVER MANAGER","SERVER MANAGER"
"VSTR_LBL_ACTIVVITY_MAP","Activity Map","Activity Map","Activity Map","Activity Map","Карта активности","Activity Map","Activity Map","Activity Map","Activity Map","Carte d'Activité","Activity Map","Activity Map","Activity Map","Activity Map"
"VSTR_LBL_SCRIPT_LOADER","Script Loader","Script Loader","Script Loader","Script Loader","Список скриптов","Script Loader","Script Loader","Script Loader","Script Loader","Chargeur de Script","Script Loader","Script Loader","Script Loader","Script Loader"
"VSTR_LBL_REFRESH_LIST","Refresh List","Refresh List","Refresh List","Refresh List","Обновить","Refresh List","Refresh List","Refresh List","Refresh List","Rafraîchir la Liste","Refresh List","Refresh List","Refresh List","Refresh List"
"VSTR_LBL_WRITE","Write","Write","Write","Write","Записать","Write","Write","Write","Write","Écrire","Write","Write","Write","Write"
"VSTR_LBL_VIEW","View","View","View","View","Посмотреть","View","View","View","View","Voir","View","View","View","View"
"VSTR_LBL_LOAD","Load","Load","Load","Load","Загрузить","Load","Load","Load","Load","Charger","Load","Load","Load","Load"
"VSTR_LBL_RELEASE","Release","Release","Release","Release","Выгрузить","Release","Release","Release","Release","Libérer","Release","Release","Release","Release"
"VSTR_LBL_ADMIN_LOGIN","Admin Login","Admin Login","Admin Login","Admin Login","Админ Вход","Admin Login","Admin Login","Admin Login","Admin Login","Connexion Administrateur","Admin Login","Admin Login","Admin Login","Admin Login"
"VSTR_LBL_PASSWORD","Password:","Password:","Password:","Password:","Пароль:","Password:","Password:","Password:","Password:","Mot de Passe :","Password:","Password:","Password:","Password:"
"VSTR_LBL_SERVER_MONITOR","Server Status Monitor","Server Status Monitor","Server Status Monitor","Server Status Monitor","Статус сервера","Server Status Monitor","Server Status Monitor","Server Status Monitor","Server Status Monitor","Moniteur de Statut du Serveur","Server Status Monitor","Server Status Monitor","Server Status Monitor","Server Status Monitor"
"VSTR_LBL_SERVER_FPS","Server FPS:","Server FPS:","Server FPS:","Server FPS:","FPS сервера:","Server FPS:","Server FPS:","Server FPS:","Server FPS:","FPS du Serveur :","Server FPS:","Server FPS:","Server FPS:","Server FPS:"
"VSTR_LBL_ONLINE_PLAYERS","Online Players:","Online Players:","Online Players:","Online Players:","Онлайн:","Online Players:","Online Players:","Online Players:","Online Players:","Joueurs en Ligne :","Online Players:","Online Players:","Online Players:","Online Players:"
"VSTR_LBL_SERVER_UPTIME","Server Up Time:","Server Up Time:","Server Up Time:","Server Up Time:","Сервер работает:","Server Up Time:","Server Up Time:","Server Up Time:","Server Up Time:","Temps de Fonctionnement du Serveur :","Server Up Time:","Server Up Time:","Server Up Time:","Server Up Time:"
"VSTR_LBL_MEM_USED","Memory Used:","Memory Used:","Memory Used:","Memory Used:","Использование ОЗУ:","Memory Used:","Memory Used:","Memory Used:","Memory Used:","Mémoire Utilisée :","Memory Used:","Memory Used:","Memory Used:","Memory Used:"
"VSTR_LBL_NETWORK_TRAFFIC","Network out Kbps:","Network out Kbps:","Network out Kbps:","Network out Kbps:","Сеть ВЫГР, кбит/с:","Network out Kbps:","Network out Kbps:","Network out Kbps:","Network out Kbps:","Trafic Réseau Sortant Kbps :","Network out Kbps:","Network out Kbps:","Network out Kbps:","Network out Kbps:"
"VSTR_LBL_NETWORK_TRAFFIC2","Network In Kbps:","Network In Kbps:","Network In Kbps:","Network In Kbps:","Сеть ЗАГР, кбит/с:","Network In Kbps:","Network In Kbps:","Network In Kbps:","Network In Kbps:","Trafic Réseau Entrant Kbps :","Network In Kbps:","Network In Kbps:","Network In Kbps:","Network In Kbps:"
"VSTR_LBL_ACTIVE_AI","Active AIs:","Active AIs:","Active AIs:","Active AIs:","Активных ИИ:","Active AIs:","Active AIs:","Active AIs:","Active AIs:","IA Actives :","Active AIs:","Active AIs:","Active AIs:","Active AIs:"
"VSTR_LBL_REFRESH_ACTIVITY","Refresh Activity","Refresh Activity","Refresh Activity","Refresh Activity","Обновить Активность","Refresh Activity","Refresh Activity","Refresh Activity","Refresh Activity","Rafraîchir l'Activité","Refresh Activity","Refresh Activity","Refresh Activity","Refresh Activity"
"VSTR_LBL_AUTO_UPDATE_ACTIVITY","Auto Update Activity","Auto Update Activity","Auto Update Activity","Auto Update Activity","Авто обновл.","Auto Update Activity","Auto Update Activity","Auto Update Activity","Auto Update Activity","Mise à Jour Automatique de l'Activité","Auto Update Activity","Auto Update Activity","Auto Update Activity","Auto Update Activity"
"VSTR_LBL_RESTART_SERVER","Restart Server","Restart Server","Restart Server","Restart Server","Перезапустить","Restart Server","Restart Server","Restart Server","Restart Server","Redémarrer le Serveur","Restart Server","Restart Server","Restart Server","Restart Server"
"VSTR_LBL_LOCKSERVER","Lock Server","Lock Server","Lock Server","Lock Server","Закрыть","Lock Server","Lock Server","Lock Server","Lock Server","Verrouiller le Serveur","Lock Server","Lock Server","Lock Server","Lock Server"
"VSTR_LBL_KILL_ALL_PLAYERS","Kick All Players","Kick All Players","Kick All Players","Kick All Players","Кикнуть всех","Kick All Players","Kick All Players","Kick All Players","Kick All Players","Expulser Tous les Joueurs","Kick All Players","Kick All Players","Kick All Players","Kick All Players"
"VSTR_LBL_RETURN_PLAYERS","RETURN","RETURN","RETURN","RETURN","Вернуть","RETURN","RETURN","RETURN","RETURN","Renvoyer","RETURN","RETURN","RETURN","RETURN"
"VSTR_TELEPORT_MANAGER_TITLE","TELEPORT MANAGER","TELEPORT MANAGER","TELEPORT MANAGER","TELEPORT MANAGER","ТЕЛЕПОРТ МЕНЕДЖЕР","TELEPORT MANAGER","TELEPORT MANAGER","TELEPORT MANAGER","TELEPORT MANAGER","Téléportation","TELEPORT MANAGER","TELEPORT MANAGER","TELEPORT MANAGER","TELEPORT MANAGER"
"VSTR_LBL_SAVED_POSITIONS","Saved Positions","Saved Positions","Saved Positions","Saved Positions","Сохраненные точки","Saved Positions","Saved Positions","Saved Positions","Saved Positions","Positions Enregistrées","Saved Positions","Saved Positions","Saved Positions","Saved Positions"
"VSTR_LBL_ADD_NEW_POS","Add New Position","Add New Position","Add New Position","Add New Position","Создать новую","Add New Position","Add New Position","Add New Position","Add New Position","Ajouter Nouvelle Position","Add New Position","Add New Position","Add New Position","Add New Position"
"VSTR_LBL_EDIT_SEL_POS","Edit Selected Position","Edit Selected Position","Edit Selected Position","Edit Selected Position","Редактировать","Edit Selected Position","Edit Selected Position","Edit Selected Position","Edit Selected Position","Éditer la Position Sélectionnée","Edit Selected Position","Edit Selected Position","Edit Selected Position","Edit Selected Position"
"VSTR_LBL_DEL_SEL_POS","Delete Selected Position(s)","Delete Selected Position(s)","Delete Selected Position(s)","Delete Selected Position(s)","Удалить выбранные","Delete Selected Position(s)","Delete Selected Position(s)","Delete Selected Position(s)","Delete Selected Position(s)","Supprimer la Position(s) Sélectionnée(s)","Delete Selected Position(s)","Delete Selected Position(s)","Delete Selected Position(s)","Delete Selected Position(s)"
"VSTR_LBL_TP_TO_SEL_PLAYERS","Teleport Selected Player(s)","Teleport Selected Player(s)","Teleport Selected Player(s)","Teleport Selected Player(s)","Телепорт выбранных игроков","Teleport Selected Player(s)","Teleport Selected Player(s)","Teleport Selected Player(s)","Teleport Selected Player(s)","Téléporter le(s) Joueur(s) Sélectionné(s)","Teleport Selected Player(s)","Teleport Selected Player(s)","Teleport Selected Player(s)","Teleport Selected Player(s)"
"VSTR_LBL_TP_TO_POS","Teleport to Position","Teleport to Position","Teleport to Position","Teleport to Position","Телепорт до точки","Teleport to Position","Teleport to Position","Teleport to Position","Teleport to Position","Téléporter à la Position","Teleport to Position","Teleport to Position","Teleport to Position","Teleport to Position"
"VSTR_LBL_NEW_TP_POS_ATTS","NEW POSITION ATTRIBUTES","NEW POSITION ATTRIBUTES","NEW POSITION ATTRIBUTES","NEW POSITION ATTRIBUTES","ПАРАМЕТРЫ ТОЧКИ","NEW POSITION ATTRIBUTES","NEW POSITION ATTRIBUTES","NEW POSITION ATTRIBUTES","NEW POSITION ATTRIBUTES","NOUVEAUX ATTRIBUTS DE POSITION","NEW POSITION ATTRIBUTES","NEW POSITION ATTRIBUTES","NEW POSITION ATTRIBUTES","NEW POSITION ATTRIBUTES"
"VSTR_LBL_POS","Position:","Position:","Position:","Position:","Координаты:","Position:","Position:","Position:","Position:","Position :","Position:","Position:","Position:","Position:"
"VSTR_WEATHER_MANAGER","WEATHER MANAGER","WEATHER MANAGER","WEATHER MANAGER","WEATHER MANAGER","МЕНЕДЖЕР ПОГОДЫ","WEATHER MANAGER","WEATHER MANAGER","WEATHER MANAGER","WEATHER MANAGER","GESTIONNAIRE DE MÉTÉO","WEATHER MANAGER","WEATHER MANAGER","WEATHER MANAGER","WEATHER MANAGER"
"VSTR_LBL_PRESETS","Presets","Presets","Presets","Presets","Пресеты","Presets","Presets","Presets","Presets","Préréglages","Presets","Presets","Presets","Presets"
"VSTR_LBL_INFORMATION","Information","Information","Information","Information","Информация","Information","Information","Information","Information","Information","Information","Information","Information","Information"
"VSTR_LBL_TIME","Time:","Time:","Time:","Time:","Время:","Time:","Time:","Time:","Time:","Heure :","Time:","Time:","Time:","Time:"
"VSTR_LBL_DATE","Date:","Date:","Date:","Date:","Дата:","Date:","Date:","Date:","Date:","Date :","Date:","Date:","Date:","Date:"
"VSTR_LBL_RAIN","Rain:","Rain:","Rain:","Rain:","Дождь:","Rain:","Rain:","Rain:","Rain:","Pluie :","Rain:","Rain:","Rain:","Rain:"
"VSTR_LBL_OVERCAST","Overcast:","Overcast:","Overcast:","Overcast:","Облачность:","Overcast:","Overcast:","Overcast:","Overcast:","Couvert :","Overcast:","Overcast:","Overcast:","Overcast:"
"VSTR_LBL_FOG","Fog:","Fog:","Fog:","Fog:","Туман:","Fog:","Fog:","Fog:","Fog:","Brouillard :","Fog:","Fog:","Fog:","Fog:"
"VSTR_LBL_WIND_FORCE","Wind Force:","Wind Force:","Wind Force:","Wind Force:","Ветер:","Wind Force:","Wind Force:","Wind Force:","Wind Force:","Force du Vent :","Wind Force:","Wind Force:","Wind Force:","Wind Force:"
"VSTR_LBL_WORLD_TIME","World Time","World Time","World Time","World Time","Время мира","World Time","World Time","World Time","World Time","Temps Mondial","World Time","World Time","World Time","World Time"
"VSTR_LBL_HOUR","Hour:","Hour:","Hour:","Hour:","Час:","Hour:","Hour:","Hour:","Hour:","Heure :","Hour:","Hour:","Hour:","Hour:"
"VSTR_LBL_MINUTE","Minute:","Minute:","Minute:","Minute:","Минута:","Minute:","Minute:","Minute:","Minute:","Minute :","Minute:","Minute:","Minute:","Minute:"
"VSTR_LBL_DAY","Day:","Day:","Day:","Day:","День:","Day:","Day:","Day:","Day:","Jour :","Day:","Day:","Day:","Day:"
"VSTR_LBL_MONTH","Month:","Month:","Month:","Month:","Месяц:","Month:","Month:","Month:","Month:","Mois :","Month:","Month:","Month:","Month:"
"VSTR_LBL_YEAR","Year:","Year:","Year:","Year:","Год:","Year:","Year:","Year:","Year:","Année :","Year:","Year:","Year:","Year:"
"VSTR_LBL_APPLY_PRESET","Apply Preset","Apply Preset","Apply Preset","Apply Preset","Применить","Apply Preset","Apply Preset","Apply Preset","Apply Preset","Appliquer le Préréglage","Apply Preset","Apply Preset","Apply Preset","Apply Preset"
"VSTR_LBL_USE_CURRENT_TIME","Use Current Time","Use Current Time","Use Current Time","Use Current Time","Текущее время","Use Current Time","Use Current Time","Use Current Time","Use Current Time","Utiliser l'Heure Actuelle","Use Current Time","Use Current Time","Use Current Time","Use Current Time"
"VSTR_LBL_DELETE_W_PRESET","Delete Preset","Delete Preset","Delete Preset","Delete Preset","Удалить пресет","Delete Preset","Delete Preset","Delete Preset","Delete Preset","Supprimer le Préréglage","Delete Preset","Delete Preset","Delete Preset","Delete Preset"
"VSTR_LBL_ENTER_NAME","Enter Name","Enter Name","Enter Name","Enter Name","Имя пресета","Enter Name","Enter Name","Enter Name","Enter Name","Entrer le Nom","Enter Name","Enter Name","Enter Name","Enter Name"
"VSTR_LBL_WEATHER_CONFG","Weather Configuration","Weather Configuration","Weather Configuration","Weather Configuration","Параметры Погоды","Weather Configuration","Weather Configuration","Weather Configuration","Weather Configuration","Configuration Météo","Weather Configuration","Weather Configuration","Weather Configuration","Weather Configuration"
"VSTR_LBL_RATE_OF_CHANGE","Rate Of Change:","Rate Of Change:","Rate Of Change:","Rate Of Change:","Скорость изменения:","Rate Of Change:","Rate Of Change:","Rate Of Change:","Rate Of Change:","Taux de Changement :","Rate Of Change:","Rate Of Change:","Rate Of Change:","Rate Of Change:"
"VSTR_LBL_DURATION","Duration:","Duration:","Duration:","Duration:","Длительность:","Duration:","Duration:","Duration:","Duration:","Durée :","Duration:","Duration:","Duration:","Duration:"
"VSTR_WEB_HOOKS_MANAGER_TITLE","WebHooks Manager","WebHooks Manager","WebHooks Manager","WebHooks Manager","МЕНЕДЖЕР ВебХуков","WebHooks Manager","WebHooks Manager","WebHooks Manager","WebHooks Manager","Gestionnaire de WebHooks","WebHooks Manager","WebHooks Manager","WebHooks Manager","WebHooks Manager"
"VSTR_LBL_WEBHOOKS","WebHooks","WebHooks","WebHooks","WebHooks","ВебХуки","WebHooks","WebHooks","WebHooks","WebHooks","WebHooks","WebHooks","WebHooks","WebHooks","WebHooks"
"VSTR_LBL_WEBHOOKS_ATTS","WebHook Attributes","WebHook Attributes","WebHook Attributes","WebHook Attributes","Параметры ВебХука","WebHook Attributes","WebHook Attributes","WebHook Attributes","WebHook Attributes","Attributs de WebHook","WebHook Attributes","WebHook Attributes","WebHook Attributes","WebHook Attributes"
